    0     0 
    1     1 
    4    12 
   11    13 
   19     2 
   20    48 
   30    49 
   31    50 
   44    51 
   59    14 
   72    15 
   81     3 
    2    52 
    3    53 
    9    54 
   10    55 
   16    16 
   17    17 
   18    18 
   27     4 
   28     5 
   29    56 
   38    57 
   39    58 
   40    59 
   41    60 
   42    61 
   43    19 
   53    20 
   54    21 
   55     6 
   56     7 
   57    62 
   58    63 
   68    64 
   69    65 
   70    66 
   71    67 
   77    22 
   78    23 
   79    24 
   80    25 
   86    26 
   87    27 
   88     8 
   91    68 
   92    69 
   93    70 
    5    71 
    6    72 
    7    73 
    8    74 
   12    75 
   13    28 
   14    29 
   15    30 
   21    31 
   22    32 
   23    33 
   24     9 
   25    76 
   26    77 
   32    78 
   33    79 
   34    80 
   35    81 
   36    82 
   37    83 
   45    34 
   46    35 
   47    36 
   48    37 
   49    10 
   50    84 
   51    85 
   52    86 
   60    87 
   61    38 
   62    39 
   63    40 
   64    41 
   65    11 
   66    88 
   67    89 
   73    90 
   74    91 
   75    42 
   76    43 
   82    44 
   83    92 
   84    93 
   85    45 
   89    46 
   90    47 
   94    94 
   95    95 
