    0     0 
    1     1 
    2     2 
    5    24 
    6    32 
    7     3 
   10     4 
   11     5 
   12    25 
   15    33 
   16     6 
   17     7 
   20     8 
   21    26 
   22    34 
   25     9 
   26    10 
   27    11 
   30    27 
   31    35 
   32    12 
   35    13 
   36    14 
   37    28 
    3    36 
    8    15 
   13    16 
   18    17 
   23    29 
   28    37 
   33    18 
   38    19 
    4    20 
    9    30 
   14    38 
   19    21 
   24    22 
   29    23 
   34    31 
   39    39 
